epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1529,1.44716,3.05352,1.35161,0.95422,0.41297,0.56613,0.37197,1.19154,2.45985,1.10521,0.000463459,0.000463459,0.000463459
2,172.742,1.34521,1.57847,1.19612,0.91761,0.54252,0.71217,0.4542,1.31142,1.94477,1.17768,0.000921185,0.000921185,0.000921185
3,251.555,1.26469,1.27029,1.17129,0.77285,0.87595,0.85647,0.53892,1.16253,1.09687,1.13994,0.00136005,0.00136005,0.00136005
4,328.48,1.22588,1.15289,1.1614,0.80358,0.88272,0.87281,0.54683,1.16785,1.06081,1.14887,0.00134412,0.00134412,0.00134412
5,409.235,1.19413,1.06834,1.14352,0.84296,0.88476,0.88701,0.57398,1.17219,0.9852,1.15815,0.00131582,0.00131582,0.00131582
6,490.921,1.17392,1.03779,1.12747,0.8379,0.88879,0.89861,0.59694,1.06837,1.15761,1.16563,0.00128753,0.00128753,0.00128753
7,621.498,1.19551,1.0363,1.13634,0.84799,0.90077,0.91805,0.60003,1.08801,0.88411,1.10298,0.00125923,0.00125923,0.00125923
8,723.556,1.14194,0.99371,1.11855,0.85369,0.8971,0.91608,0.60644,1.09029,0.92096,1.13932,0.00123094,0.00123094,0.00123094
9,822.103,1.1697,0.99214,1.14205,0.8446,0.90433,0.91594,0.61982,1.04998,0.84085,1.11642,0.00120265,0.00120265,0.00120265
10,915.377,1.13723,0.95426,1.12348,0.8236,0.91594,0.91455,0.61421,1.06758,0.84325,1.10293,0.00117435,0.00117435,0.00117435
11,1006.42,1.11012,0.92812,1.11075,0.83828,0.89813,0.90037,0.60978,1.07671,0.82315,1.11582,0.00114606,0.00114606,0.00114606
12,1106.39,1.13137,0.93245,1.11464,0.833,0.92487,0.90535,0.60976,1.07578,0.94514,1.07762,0.00111776,0.00111776,0.00111776
13,1197.83,1.10225,0.90967,1.11221,0.84446,0.92001,0.91414,0.62397,1.04953,0.81129,1.10084,0.00108947,0.00108947,0.00108947
14,1315.53,1.09952,0.91322,1.10568,0.83301,0.92656,0.91149,0.62211,1.03486,0.78572,1.07899,0.00106118,0.00106118,0.00106118
15,1423.78,1.11273,0.90555,1.09208,0.88527,0.88984,0.91663,0.62563,1.02194,0.7633,1.08521,0.00103288,0.00103288,0.00103288
16,1500.03,1.08547,0.88656,1.09424,0.87494,0.86148,0.9151,0.63357,1.03439,0.80955,1.06429,0.00100459,0.00100459,0.00100459
17,1579.35,1.08569,0.86464,1.09817,0.81412,0.92355,0.90277,0.60519,1.06102,0.79076,1.1091,0.000976293,0.000976293,0.000976293
18,1655.82,1.07702,0.86166,1.08462,0.86839,0.90771,0.93372,0.63711,1.03449,0.80587,1.06058,0.000947999,0.000947999,0.000947999
19,1738.39,1.06283,0.84945,1.08406,0.84263,0.9336,0.93149,0.63317,1.02716,0.77189,1.06944,0.000919704,0.000919704,0.000919704
20,1818.74,1.07027,0.82488,1.07324,0.85563,0.91843,0.91747,0.63548,1.02198,0.7315,1.06994,0.00089141,0.00089141,0.00089141
21,1927.05,1.06374,0.85356,1.09532,0.86262,0.92944,0.93003,0.64249,1.02075,0.77537,1.0732,0.000863116,0.000863116,0.000863116
22,2043.05,1.0792,0.84828,1.0829,0.86979,0.90165,0.93608,0.643,1.03396,0.73324,1.0758,0.000834822,0.000834822,0.000834822
23,2156.17,1.07027,0.83465,1.09139,0.89053,0.88587,0.93574,0.63344,1.05435,0.7446,1.07476,0.000806528,0.000806528,0.000806528
24,2268.49,1.05005,0.81591,1.07645,0.83903,0.92252,0.92362,0.63333,1.01703,0.729,1.05226,0.000778233,0.000778233,0.000778233
25,2367.12,1.05217,0.80591,1.06315,0.87151,0.89492,0.92419,0.63918,1.02287,0.83139,1.06587,0.000749939,0.000749939,0.000749939
26,2444.63,1.04669,0.81787,1.07619,0.87147,0.92527,0.93453,0.64786,1.01126,0.69639,1.05497,0.000721645,0.000721645,0.000721645
27,2520.99,1.05628,0.81134,1.07737,0.87274,0.91409,0.93357,0.64083,1.02082,0.71285,1.05094,0.000693351,0.000693351,0.000693351
28,2596.82,1.04822,0.80295,1.06655,0.86062,0.93564,0.92583,0.64365,1.00804,0.72314,1.06882,0.000665057,0.000665057,0.000665057
29,2673.02,1.0235,0.79345,1.06477,0.88694,0.89945,0.92981,0.63797,1.00662,0.74592,1.05227,0.000636762,0.000636762,0.000636762
30,2748.23,1.03602,0.76416,1.0601,0.85506,0.93885,0.9346,0.64877,1.00254,0.69298,1.0531,0.000608468,0.000608468,0.000608468
31,2823.89,1.01373,0.79642,1.05412,0.85834,0.90871,0.92503,0.63738,1.01121,0.70993,1.05371,0.000580174,0.000580174,0.000580174
32,2901.6,1.02386,0.78189,1.06587,0.86794,0.89973,0.9175,0.6326,1.00888,0.72512,1.0455,0.00055188,0.00055188,0.00055188
33,3026.95,1.01955,0.77287,1.0519,0.89024,0.8933,0.93056,0.63952,1.00252,0.68658,1.04738,0.000523586,0.000523586,0.000523586
34,3112.1,1.03595,0.79297,1.07056,0.89259,0.88996,0.93165,0.64391,1.00005,0.67694,1.05477,0.000495291,0.000495291,0.000495291
35,3187.97,1.01322,0.75211,1.0538,0.87159,0.91845,0.93829,0.65484,0.99603,0.68671,1.03351,0.000466997,0.000466997,0.000466997
36,3279.49,0.99787,0.75892,1.04326,0.84819,0.9427,0.93064,0.64432,1.00705,0.67924,1.04719,0.000438703,0.000438703,0.000438703
37,3375.19,1.03028,0.76101,1.0651,0.9022,0.89674,0.939,0.6455,1.01175,0.67352,1.04816,0.000410409,0.000410409,0.000410409
38,3540.41,1.00222,0.74304,1.0389,0.88072,0.88794,0.9307,0.6447,0.99985,0.66685,1.04037,0.000382115,0.000382115,0.000382115
39,3694.23,0.98311,0.73173,1.03991,0.88561,0.89422,0.92428,0.64044,0.99311,0.69917,1.03776,0.00035382,0.00035382,0.00035382
40,3844.73,1.00905,0.75039,1.05452,0.89484,0.89004,0.93485,0.65064,0.99485,0.67404,1.03842,0.000325526,0.000325526,0.000325526
41,4005.86,1.00451,0.8534,1.04218,0.88038,0.87657,0.92332,0.62297,1.02429,0.70343,1.03424,0.000297232,0.000297232,0.000297232
42,4125.06,0.99254,0.77595,1.02944,0.84226,0.9201,0.92292,0.63233,1.02287,0.74159,1.06375,0.000268938,0.000268938,0.000268938
43,4225.72,0.9788,0.74408,1.03919,0.8738,0.91492,0.93208,0.63936,1.0007,0.70654,1.03512,0.000240644,0.000240644,0.000240644
44,4350.54,0.966,0.72624,1.02538,0.87568,0.8979,0.9303,0.64511,1.01241,0.72834,1.04512,0.000212349,0.000212349,0.000212349
45,4438.5,0.94881,0.69703,1.01886,0.87111,0.91313,0.93383,0.63926,0.99894,0.68124,1.03058,0.000184055,0.000184055,0.000184055
46,4525.59,0.95259,0.70414,1.02286,0.86844,0.90943,0.92978,0.64598,1.00125,0.67193,1.02975,0.000155761,0.000155761,0.000155761
47,4613.5,0.95299,0.7069,1.02332,0.87236,0.90457,0.93402,0.6469,1.00319,0.67206,1.03529,0.000127467,0.000127467,0.000127467
48,4705.31,0.94865,0.68543,1.02186,0.864,0.91849,0.93819,0.65178,0.99668,0.67097,1.03426,9.91726e-05,9.91726e-05,9.91726e-05
49,4807.1,0.94222,0.67448,1.01938,0.86616,0.91336,0.938,0.65236,0.99859,0.67895,1.03681,7.08784e-05,7.08784e-05,7.08784e-05
50,4896.57,0.93879,0.68465,1.01675,0.8582,0.91897,0.93785,0.65113,0.99466,0.66961,1.03002,4.25842e-05,4.25842e-05,4.25842e-05
